#兼容所有拼音类型的公共简码库
a	啊|哎|按|爱|安|暗
sq	四驱|诉求|赛前|色情|索取|申请
sw	所谓|三维|酸味|丝袜|送往|事务
sx	思想|私信|搜寻|随心|色相|实现
sy	所以|三亚|瘙痒|色诱|撒野|使用
sz	所在|色泽|私自|嗓子|算作|设置
td	特点|听到|挑逗|推倒|头大|土地
tf	台风|突发|退费|天府|吞服|投放
tn	太难|头脑|推拿|腾挪|贪念|体内
tq	天气|提前|同期|踢球|透气|拖欠
tt	天天|疼痛|头痛|淘汰|挑剔|团体
tw	太晚|台湾|跳舞|特务|退伍|图文
uc	收藏|手册|双层|水草|赏赐|生产
un	少年|十年|少女|水泥|上年|室内
uq	社区|事情|烧钱|煽情|双亲|申请
uu	少数|是啥|摔伤|涮涮|叔叔|舒适
ut	身体|试图|沙滩|石头|衰退|手头
ux	实现|筛选|刷新|率先|说下|思想
vc	这次|至此|榨菜|转存|照此|支持
vm	这么|证明|周末|专门|知名|直面
vn	只能|智能|中年|真能|捉弄|指南
vq	之前|正确|追求|债券|赚钱|中期
vt	状态|主体|涨停|中途|折腾|这天
vx	装修|专项|这下|着想|战线|只想
vy	注意|这样|张扬|专研|置业|职业
wb	微博|未必|务必|王八|晚报|外包
wc	晚餐|卧槽|外侧|文采|完成|维持
wd	我的|文档|稳定|温度|伟大|味道
we	玩儿|娃儿|万恶|我饿
wi	完成|维持|外出|为此|无耻|误差
wm	我们|完美|外貌|挖煤|外贸|文明
wn	温暖|无奈|万能|往年|窝囊|蜗牛
wp	物品|网盘|尾盘|王牌|为盼|网评
wq	完全|温泉|委屈|外墙|无穷|握拳
wr	污染|万人|微软|围绕|温柔|外人
wu	为啥|外甥|文殊|无数|武术|文书
wt	问题|舞台|外套|窝头|委托|文体
wv	位置|为止|未知|王者|玩转|文章
ww	娃娃|微微|外围|呜呜|嗡嗡|往往
wx	微信|无线|问下|斡旋|维修|文学
wy	我也|唯一|外语|物业|玩意|委员
xa	西安|相爱|悬案|行啊|凶案|喜爱
xb	性别|新版|想必|下巴|续保|下班
xe	限额|邪恶|险恶|凶恶|小额
xf	消费|想法|幸福|修复|西方|兴奋
xg	习惯|修改|性格|选购|凶光|相关
xh	喜欢|学会|小孩|消化|雄厚|循环
xj	新疆|新建|胸襟|新津|细节|现金
xk	辛苦|小康|心坎|学科|详看|侠客
xl	序列|下来|旋律|相连|项链|心理
xt	系统|夏天|协调|线条|小偷|相同
xv	学者|性质|旋转|兄长|兴致|限制
xz	选择|现在|星座|靴子|巷子|行政
yc	因此|洋葱|用餐|粤菜|野草|异常
yd	有点|一定|运动|阅读|原定|移动
yf	衣服|月份|缘分|一分|邮费|研发
yg	一个|应该|缘故|阉割|也该|员工
yl	压力|原来|以来|伊朗|远离|医疗
ym	页面|要么|郁闷|韵母|疫苗|一名
yq	要求|一起|与其|延期|也请|以前
yv	一直|亚洲|意志|原则|严重|颜值
yw	因为|以为|业务|有无|英文|原文
yx	一些|一下|影响|也行|雅兴|游戏
zc	再次|总裁|左侧|杂草|增仓|政策
zd	自动|做到|再多|增大|阻挡|知道
zm	怎么|在吗|责骂|祖母|杂毛|证明
zn	在哪|早年|灾难|总能|最能|智能
zq	足球|增强|作曲|走强|早起|证券
zt	昨天|总统|字体|组图|在逃|整体
zw	作为|最为|在外|滋味|走完|职位
zx	在线|咨询|最新|遵循|资讯|中心
zy	资源|怎样|作业|尊严|赞扬|专业
ab	安保|阿爸|暗部|岸边|爱不
ac	艾草|凹槽|按错|爱吃|暗藏
ae	埃尔|挨饿
af	安防|安抚|暗访|爱抚
ag	爱国|阿哥|按个
hg	很高|换个|昂贵|好感|横贯|怀古
ak	安康|拗口|按克
al	案例|安利|阿拉|按理
am	按摩|傲慢|暧昧|爱慕|阿妹|按米
ar	爱人|黯然
as	阿三|暗算|懊丧|按说
au	暗示|按时|傲视|爱上
aw	安慰|安稳|爱玩
ax	爱心|安心|爱惜|爱想|按需
az	案子|暗自|矮子|腌臜|按着
be	不饿|匾额|报恩|本额|笔俄
bs	比赛|不算|背诵|报送|病死|不说
bx	表现|必须|把戏|报销|别想|不行
by	不要|不用|表演|备用|波音|毕业
bz	并在|不在|不再|杯子|别再|标准
cb	从不|惨败|苍白|侧边|财宝|成本
ck	参考|仓库|词库|错开|粗口|出口
cl	材料|测量|此类|从来|存量|处理
cp	测评|脆皮|藏品|参评|错判|产品
db	代表|对比|短板|多半|倒逼|担保
dl	到了|多了|地理|登陆|对了|独立
na	纽埃|嗯啊|那啊
ea	恩爱|儿啊
ej	耳机|俄军|二级
em	噩梦|峨眉|耳目|耳麦
oe	偶尔|喔喔
fb	方便|发布|分别|翻倍|封闭|发表
gb	改变|根本|更不|钢笔|光标|干部
gp	股票|公平|攻破|狗屁|跟拍|高频
hb	回报|湖北|红包|黑白|何必|伙伴
hp	好评|和平|害怕|横盘|花瓶|厚朴
ib	成本|初步|常备|超薄|川贝|出版
ip	产品|川普|长篇|钞票|淳朴|车牌
jc	精彩|聚餐|就此|检查|坚持|基础
jo	奇偶|解耦|骄傲
js	计算|角色|加速|解释|结束|技术
jt	交通|今天|家庭|几天|监听|具体
jw	今晚|极为|键位|捐物|交往|将为
kb	恐怖|空白|快报|开办|拷贝|看不
kp	靠谱|恐怕|卡片|开盘|快跑|科普
ml	美丽|魅力|命令|麻辣|目录|面临
mq	目前|明确|母亲|默契|面前|每期
mx	明显|某些|描写|明细|母校|模型
ny	那样|纽约|能有|能用|内衣|内容
pl	评论|频率|漂亮|跑了|排列|批量
pu	拍摄|配上|排水|抛售|票数|评审
px	培训|排序|评选|偏向|剖析|凭借
py	朋友|拼音|攀岩|漂移|喷涌|培养
qc	其次|奇才|全程|器材|清除|汽车
qd	确定|缺点|前端|切断|敲定|取得
qo	群殴|求偶|全欧
qw	千万|切勿|青蛙|前文|缺位|全文
rb	日本|若不|热播|让步|如不|日报
rk	人口|认可|仍可|入库|绕开|任何
rp	人品|肉片|任凭|热评|软盘|人票
sb	随便|散布|送别|私奔|桑巴|上班
sk	思考|松开|散开|色卡|骚客|上课
sl	森林|塑料|算了|私立|三楼|实力
sm	扫描|扫码|嗓门|岁末|什么|说明
sp	碎片|索赔|赛跑|锁屏|算盘|视频
st	三天|酸痛|洒脱|随同|所提|身体
tb	特别|淘宝|同步|铁板|腿部|特别
tl	讨论|铁路|调料|脱离|特例|条例
tx	同学|提醒|退休|挑选|太小|通信
ub	识别|设备|上班|顺便|鼠标|失败
up	视频|水平|刷屏|双拼|双排|审批
us	深色|神似|摔死|失色|上述|上市
vb	准备|直播|装备|这边|转变|资本
vp	照片|追捧|帐篷|转盘|只怕|制品
wk	胃口|外壳|唯恐|顽抗|为口|文库
wl	网络|为了|无论|物理|忘了|未来
ws	网速|哇塞|莴笋|猥琐|外孙|卫生
wz	文字|王子|外在|丸子|蚊子|文章
xc	下次|瑕疵|相册|秀才|现场|宣传
xd	行动|现代|相当|学到|下蛋|兄弟
xo	西欧|小欧|信鸥
xw	希望|新闻|下午|学位|雄伟|行为
xy	需要|小艺|信用|校园|行业|效益
yn	云南|越南|也难|用脑|羊奶|越难
yp	影片|用品|一片|一瓶|压迫|硬盘
zb	嘴巴|左边|走吧|咋办|责备|准备
zk	最快|走开|宰客|字库|总括|状况
zl	资料|做了|走了|总理|阻力|质量
zp	作品|早盘|赠品|栽培|最怕|照片
ah	爱好|啊哈|懊悔|爱护|安好
hr	黑人|环绕|坏人|很热|红人|华人
hs	还算|黑色|划算|黄色|盎司|回收
hz	好在|火灾|汇总|红枣|花在|合作
aa	矮矮|暗暗
ai	熬成|哀愁|安插|爱吃
an	按钮|安宁
bh	疤痕|崩坏|变化|保护|包含
bg	报告|不够|并购|本该|别管|表格
bi	播出|奔驰|半场|标出|报仇|毕业
bj	并将|辩解|别急|宝剑|北京|比较
bk	包括|本科|并可|版块|镖客|板块
bn	不能|保暖|别扭|拜年|被虐|百年
bc	白菜|并存|半仓|保持|不错|变成
bf	比方|本分|部分|爆发|颁发
bl	比例|本来|别离|保留|办理|病例
ba	办案|悲哀|备案|保安
bm	编码|别忙|部门|帮忙|表面
bo	北欧|波折
cc	层次|测测|擦擦|参差|残存|出差
cg	错过|采购|餐馆|篡改|存管|成果
ch	策划|才华|凑合|摧毁|存活|吃喝
ci	存储|财产|此处|仓储|餐车|辞职
cu	测试|从事|促使|催生|藏书|措施
cv	财政|从中|参照|挫折|存折|操作
cj	促进|刺激|从今|猜忌|残局|参加
cs	厕所|彩色|沧桑|粗俗|惨死|城市
ce	刺耳|侧耳|策尔
cf	存放|此番|册封|粗放|蹭饭|采访
cr	曾任|残忍|存入|搓揉|承认|插入
ca	惨案|错爱|草案|查案
da	答案|档案|对岸|多爱|断案|大安
de	第二|大额|定额
di	调查|电池|单纯|多长|对称|第一
dq	定期|当前|短期|丢弃|多情|地区
dr	当然|等人|多人|对人|打扰|大人
ds	打算|屌丝|堵塞|得瑟|冻死|大师
dw	到位|读完|大王|德文|单位|地位
dy	电影|导演|大于|短语|得以|第一
dc	多次|对此|代词|稻草|短促|调查
dg	代购|都给|订购|导购|丢给|大哥
du	都是|倒是|丢失|得胜|读书|多少
dh	带回|多好|定会|大会|电话|动画
dj	动机|代驾|跌价|大家|点击|对接
dx	短线|代谢|读写|都行|德行|对象
dp	点评|灯泡|短篇|订票|得票|单品
dv	对账|跌至|顶住|得志|队长|调整
dz	动作|短暂|当作|独自|得罪|地址
dk	对抗|点开|断开|当口|打开|贷款
dm	都没|店面|对面|淡漠|定名|代码
do	对偶|斗殴
eg	儿歌|恶搞|恩公|二哥
ǹh	嗯哼
ei	而成|恩仇|二层
er	恩人|二人
en	儿女|恩呢
fa	法案|翻案|方案|反案
ff	发放|纷纷|反腐|佛法|方法|非法
fg	风格|分割|法规|犯规|放过|覆盖
fh	发货|返回|复核|防护|发红
fj	佛教|发觉|否决|附件|分解|房价
fz	放在|否则|发作|分组|肥皂|负责
fu	防守|佛山|费时|复数|发送|发生
gl	给了|咖喱|改了|惯例|怪了|管理
gv	广州|改正|过着|挂着|嘎吱|规则
ga	港澳|高傲|公安|个案
gd	搞定|挂断|跟单|怪诞|规定|股东
ge	感恩|高额|宫娥|格尔|个人
gg	改革|挂钩|过关|乖乖|搞鬼|各个
gk	高考|观看|滚开|公开|顾客|赶快
gr	给人|果然|干扰|高人|更让|个人
gz	跟踪|挂在|鸽子|更早|公子|工作
gf	股份|广泛|跟风|盖房|更烦|规范
gh	更好|刚好|光滑|桂花|公会|规划
gs	跟随|光速|该死|果酸|龟速|公司
gw	各位|岗位|改为|古文|拐弯|顾问
gu	跟上|光说|故事|告诉|公司|股市
gy	过于|根源|纲要|共用|怪异|关于
hd	很多|厚道|黑点|哈达|活动|回答
hf	哈佛|后方|耗费|海风|横幅|恢复
hh	很好|哈哈|嘿嘿|坏话|浩瀚|后会
hl	后来|换了|回来|坏了|行列|合理
ha	黑暗|好啊|海岸|很爱|昏暗|海安
he	好饿|花儿|厚恩
hu	还是|很少|话说|后市|坏事|护士
hy	好友|花样|衡阳|后院|会员|还有
hj	很久|海军|汉奸|婚介|环境|回家
hv	活着|很重|轰炸|徽章|海蜇|或者
hk	很快|昏聩|好看|户口|黑客
hw	华为|货物|很晚|厚望|黑雾|户外
ia	宠爱|尘埃|查案|垂爱|慈爱
ig	常规|穿过|冲高|橱柜|茶馆|成果
ih	窗户|插画|车祸|绰号|穿好|策划
ii	超出|拆除|传出|查出|踌躇|持续
il	处理|车辆|差了|常理|吹了|成立
iv	查找|垂直|车展|纯真|厂长|称职
ie	超额|嫦娥|丑恶|差额
ir	超人|传染|冲入|蠢人|戳入|插入
if	拆分|长发|成分|触发|出发
is	场所|传送|重塑|拆散|撤诉|城市
ij	持久|陈旧|车间|揣进|戳记|创建
iy	持有|创意|穿越|出于|充裕|成员
iu	传说|充实|纯属|诚实|创伤|阐述
id	传导|垂钓|尝到|抽调|闯荡|程度
ik	出口|重开|抽空|查看|窗口|此刻
jx	进行|江西|窘相|继续|家乡|惊喜
jp	精品|奖品|窘迫|键盘|绝配
jy	精英|迥异|建议|交易|教育|记忆
ji	奖惩|检察|君臣|卷尺|坚持|检查
jn	江南|均能|今年|技能|艰难
jq	将其|借钱|剑鞘|假期|机器|加强
ju	就是|军师|结束|解释|技术|据说
jr	迥然|进入|今日|节日|加入
kd	看到|肯定|宽带|口袋|坑爹|扩大
kf	客服|咖啡|看法|库房|狂风|开发
kh	看好|口号|恐慌|狂欢|卡号|客户
ks	快速|亏损|看似|宽松|扩散|开始
ka	可爱|口岸|酷爱|靠岸|狂傲
ke	烤鹅|款额
kg	考古|快感|跨过|开关|客观|控股
kk	看看|开口|慷慨|考考|宽阔|可靠
kr	客人|困扰|宽容|考入|狂热|扩容
kv	看着|扩展|夸张|考证|克制|看重
kw	口味|考完|矿物|开往|空位|刊物
kz	开在|快走|看在|靠在|口子|控制
kl	快了|哭了|可怜|亏了|空了|快乐
kj	空间|框架|快捷|扩建|扣缴|看见
ku	扣税|快说|阔少|快速|考试
kc	空仓|狂草|课程|考查|库存
ld	拉倒|劳动|流动|领导|落地
lh	灵活|来回|拉黑|泪痕|乱花|联合
lm	乱码|喇嘛|列明|里面|联盟|流氓
lp	楼盘|两瓶|拉票|雷劈|龙袍|老婆
lq	录取|乐趣|恋情|冷清|隆起|领取
lr	列入|流入|懒人|腊肉|利润|录入
ls	拉萨|勒索|朗诵|冷死|老师|历史
lv	两张|留着|拉着|累赘|老者
lw	辣味|来往|猎物|瞭望|漏网|论文
lx	类型|楼下|龙虾|履行|乱象|联系
ly	留言|乐园|洛阳|连夜|乱用|旅游
lg	老公|理工|灵感|旅馆|留给|两个
lu	楼上|冷水|老实|乱说|绿色|落实
lz	来自|卵子|老早|浪子|乐子|例子
lt	连同|乐天|裸体|来头|乱套|聊天
lj	两句|乐见|了解|链接|逻辑|连接
ll	累了|另类|榴莲|绿了|冷了|力量
la	冷傲|立案
lc	冷藏|留存|乱窜|流程|列车
li	列出|流畅|疗程|冷场|乱吃|立场
ln	两年|列宁|冷暖|连年|颅内|理念
lb	列表|领班|两遍|老板|类别
lk	留空|脸孔|立刻|路口|旅客
ma	明暗|马鞍|谜案
mb	毛病|漫步|民办|懵逼|麻痹|目标
mh	梦幻|民航|谋划|马虎|名画|美好
mj	面积|民间|灭绝|麻将|秘籍|买家
mg	敏感|芒果|蒙古|名贵|迈过|美国
mn	迷你|闽南|某年|猛男|卖弄|每年
mz	名字|民族|妹子|帽子|面子|每周
mi	门窗|牧场|冒出|迈出|妙处|没有
mk	门口|满口|模块|每款
mu	谋杀|门市|蔑视|明说|迷上|模式
mf	免费|没法|满分|蜜蜂|谋反|买房
mm	慢慢|命名|灭门|密码|美眉|妈妈
me	名额|面额
mc	某次|每次|卖出|名称|名词
nc	农村|脑残|内侧|奴才|哪次|内存
nd	内地|虐待|纽带|能动|挪动|年代
ne	哪儿|鸟儿|男儿|牛耳
ng	能够|哪个|弄个|凝固|牛股|那个
nh	你好|女孩|内涵|那好|嫩滑|年后
ni	奶茶|拿出|鸟巢|酿成|怒斥|内存
nl	能力|年龄|那里|哪里|农历|努力
nm	那么|你们|农民|内幕|怒骂
nq	年轻|拿起|女权|暖气|弄清|那去
nt	哪天|女童|农田|扭头|奶糖|那天
nv	哪种|扭转|闹钟|哪吒|囊肿|那种
nx	哪些|男性|内心|耐心|宁夏
nz	男子|女子|内在|脑子|牛仔|那种
nf	能否|南方|奶粉|女方|暖风|能发
nj	年级|农家|凝聚|内疚|娘家|南京
nk	耐看|扭亏|鸟瞰
nn	年内|暖暖|尿尿|能耐|浓浓|奶奶
nu	女生|牛市|能说|凝视|虐杀
ns	浓缩|南宋|暖色|泥塑|女色
nr	内容|女人|男人|鸟人|嗫嚅|那人
pg	苹果|排骨|偏高|屁股|飘过|评估
ph	平衡|配合|破坏|排行|盘活|偏好
pi	品尝|普查|赔偿|偏差|爬虫|派出
pp	评判|澎湃|啪啪|飘飘|胖胖|匹配
pj	偏见|判决|票据|拼接|碰见|评价
pz	瓶子|痞子|飘走|贫嘴|赔罪|品质
pc	配菜|泡菜|破财|盘存|旁侧|派出
pm	排名|泡沫|剖面|旁门|屏幕
pn	叛逆|泡妞|排尿|胖妞|婆娘|平年
pa	偏爱|破案|拍案|平安
pf	平凡|篇幅|喷发|漂浮|颇费|平方
pb	配备|漂泊|碰壁|偏不|跑步|屏蔽
pk	撇开|剖开|盘亏|贫困
qp	俏皮|钦佩|全屏|气派|欺骗
qy	球员|却又|惬意|穷游|情谊|企业
qm	前面|清明|且慢|群名|全名|签名
qn	青年|却能|怯懦|去弄|去那|全年
qs	切碎|青涩|秋色|去死|缺损|趋势
qt	群体|晴天|桥头|其他|全天
qq	全球|恰恰|强求|瞧瞧|请求|缺钱
qu	强势|权势|趋势|去世|取舍
qi	切除|翘楚|汽车|清楚|器材
qx	求学|取消|情绪|缺陷|全线
qr	确认|穷人|恰如|嵌入
ri	日常|让出|扔出|热诚|绕场|如此
rr	日日|柔软|容忍|软弱|惹人|人人
rv	任职|日照|热衷|绕着|睿智|认真
rh	如何|柔和|日后|软化|润滑|融合
rj	软件|人家|仍旧|日渐|热键|日记
rs	染色|热死|认识|人事|人数
ru	入手|瑞士|仍是|燃烧|热身|如果
rf	染发|润肤|人防|如风|认为
re	然而|入耳
sh	搜狐|撒谎|腮红|送回|索贿|社会
sj	三级|撒娇|算计|设计|时间|数据
su	算术|扫射|撒手|所述|诉讼|宿舍
sg	三个|四个|送给|锁骨|笋干|收购
si	俗称|赛场|送出|所处|算出|市场
sr	虽然|骚扰|酸软|色弱|索然|输入
sv	随着|三种|赛制|扫帚|丧钟|甚至
ss	搜索|色素|算算|僧俗|随时|实施
so	丧偶
sf	算法|缩放|三方|是否|司法|身份
se	孙儿
ti	填充|特长|弹出|太长|同城|提出
tr	突然|他人|太热|铁人|退让|投入
tv	体制|途中|太重|躺着|特制|通知
th	体会|太好|桃花|调和|贴合|听话
tj	条件|投机|囤积|讨教|添加|提交
tp	图片|投票|逃跑|太平|天平|谈判
tu	听说|特殊|跳水|头上|逃生|同时
te	胎儿|天鹅|徒儿
tg	提高|团购|特工|抬高|铁杆|通过
tc	推测|特此|搪瓷|头次|推出|套餐
tm	透明|特卖|条码|吞没|贴面|题目
ts	特色|投诉|推送|脱俗|唐宋|提示
ta	图案|天啊|疼爱|投案|提案
tk	挺快|推开|偷窥|腾空|图库|坦克
tz	帖子|天子|毯子|投资|通知|停止
ty	天涯|体育|体验|同意|统一
uf	身份|双方|上方|沙发|升幅|是否
ug	身高|说过|帅哥|使馆|伤感|收购
uh	生活|社会|杀害|省会|收货|适合
ul	说了|设立|生理|商量|水利|数量
uv	说着|谁知|率真|杀猪|拴住|甚至
uz	傻子|涉足|绳子|尚在|刷子|所在
ue	首尔|少儿|税额|双耳|上颚
ui	少吃|说出|双重|筛查|上场|市场
ur	生日|双人|烧肉|衰弱|闪人|输入
uy	属于|上演|少于|商业|收益|事业
uk	上课|水库|收看|声卡|爽快|时刻
ua	涉案|上岸|是啊
uj	收集|生姜|瞬间|涉及|上级|数据
uw	水位|说完|奢望|顺位|事务|思维
ud	受到|说道|顺带|刷单|摔倒|收到
vg	这个|中国|整个|照顾|珍贵|资格
vl	周六|赚了|重力|炸了|坠落|整理
vs	折算|撞死|长孙|炸死|转送|知识
vw	周围|这位|追尾|质问|炸窝|职位
vi	找出|忠诚|追查|撞车|摘除|支持
vr	找人|准入|折让|责任|转入
vz	正在|站在|桌子|周遭|装作|组织
vk	状况|这款|展开|抓狂|中肯|在看
ve	这儿|中俄
vh	正好|账号|折合|坠毁|转圜|中华
vv	这种|战争|抓住|追逐|着重|制作
vj	专家|洲际|自己|直接|最近
va	钟爱|这啊|专案
vd	这点|终点|抓到|直到|制度
